validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoARIMA-start_p_2-max_p_72-start_q_2-max_q_72-seasonal_False-n_jobs_-1,83.23740720748901,4.456070796569304,2.222603242749057,3.950726841970051,1.0660326699169125,2.8877595391485538,2.464791822229971,2.503991662346901,7.534798032888724,6.212204034852243,3.9836089898657003,2.6624493199450145,3.6313669956802213,1.8839553333847507
p01,AutoREG-lags_1-trend_c-seasonal_False,0.237440824508667,5.197009347966608,3.4177186053976825,4.785317707863672,2.557606875832275,2.0459525294278467,2.060414648544038,2.64297785437016,9.134444660722703,6.868231985999934,4.554322674075337,3.603216615493153,4.260655773244856,2.1953937781746347
p01,AutoREG-lags_1-trend_ct-seasonal_False,0.10939621925354004,7.50244619623036,4.327574558484455,4.780635611954346,3.0246175548057592,1.683733665016178,2.0405622550579396,2.6402066284694414,9.192562655280051,6.941016501011189,4.555506567313341,3.65623567870191,4.57682707930227,2.3951564357180373
p01,AutoREG-lags_1-trend_n-seasonal_False,0.2866091728210449,5.197009347965965,3.607690108634403,5.560909379398985,2.422869377875061,0.7821886465503473,2.056658251803008,2.940852009398115,8.25234041959125,5.293076224991929,3.2135981362414254,2.061437374886193,3.7626026615760613,2.12777265453651
p01,AutoREG-lags_1-trend_t-seasonal_False,0.10820531845092773,7.50244619623342,2.740886385203385,6.307904811323399,1.5524622860303905,0.9730799393851157,2.507175143885239,3.4876549525722456,7.7448630612543425,4.669290306794389,2.6547661053778966,1.7120387752314936,3.8047789057537553,2.4066527815930336
p01,AutoREG-lags_12-trend_c-seasonal_False,0.10628342628479004,3.9294268289666534,2.2562317026247403,4.3368010755101825,1.321861970091163,3.6093924445521144,2.0763272444951295,2.518184927085499,7.026636327110288,6.769159095036807,4.797502607209612,4.54965744341366,3.926471060554168,1.8462899412494609
p01,AutoREG-lags_12-trend_ct-seasonal_False,0.1168208122253418,3.8655623161906023,2.6422799514235917,4.342425301062046,1.270646149268837,2.8310786753150174,2.162054703755448,2.520979740563811,7.304098763386142,6.898651430697181,4.524771841496361,4.412003463658647,3.888595666983426,1.8970473522972373
p01,AutoREG-lags_12-trend_n-seasonal_False,0.1166691780090332,3.9294268289666907,2.27093026082107,5.238052399585241,1.186281666869765,1.2083060690670586,2.9236499821396698,3.359302295698694,5.738246689136183,3.981608448689833,2.633898490330076,1.8264570638757014,3.117832745016362,1.5119185678769347
p01,AutoREG-lags_12-trend_t-seasonal_False,0.10638117790222168,3.8655623161907,2.877539273339525,6.421523730766217,2.617068674095364,1.1088815227969582,4.381415625812401,4.385415756352499,5.312122309789655,3.0458040683028704,2.104544626291651,1.4625732723736617,3.4165864705555906,1.6317540419015295
p01,AutoREG-lags_16-trend_c-seasonal_False,0.11651206016540527,3.1601281386612126,2.30500576280273,4.2159002377078325,1.2804827668914252,3.606057526699851,2.121958419375187,2.4843886849417456,6.981533513680515,6.816514511561414,4.991879656093462,4.709765932264723,3.8794195591527356,1.8748343542436845
p01,AutoREG-lags_16-trend_ct-seasonal_False,0.11011624336242676,3.111184695453566,2.659181653988821,4.224625654108496,1.2265152696567587,2.822735190048358,2.206388384713386,2.493394100369542,7.271039777961308,6.954950320169186,4.711754247162543,4.569620228500599,3.8410354111029608,1.928414994329764
p01,AutoREG-lags_16-trend_n-seasonal_False,0.11754131317138672,3.160128138660933,2.3575827652361223,5.009509728891642,1.2027465088662737,1.170222909290203,2.9640892238443017,3.3980935032490938,5.737862173997548,3.9443314572382704,2.589672501648926,1.737819654997349,3.024732596901879,1.4613977199373425
p01,AutoREG-lags_16-trend_t-seasonal_False,0.11663293838500977,3.1111846954537286,2.902161653681772,6.174141354541863,2.5132001683177028,1.1411093066507594,4.415502595504895,4.36696369746827,5.313708460931077,3.027372830271461,2.0969655091867274,1.4637319475700132,3.3205492926889337,1.583070129407072
p01,AutoREG-lags_2-trend_c-seasonal_False,0.10617470741271973,4.110165505221356,2.6202179212934724,4.156760600667489,1.6853841711186957,4.199089017751304,2.054239678725942,2.6685758033905134,7.001014122490928,6.9445088306700375,4.541538802467015,4.456860947904162,4.03985049106372,1.762299660676462
p01,AutoREG-lags_2-trend_ct-seasonal_False,0.10594010353088379,3.524751732441407,3.296510480269239,4.143783484397815,1.5207753043995524,3.659135544610309,2.0741596920455945,2.6759716378721166,7.401577638077966,7.152842071907543,4.3331470509897825,4.3875430091178425,4.01547251328447,1.8502911794817365
p01,AutoREG-lags_2-trend_n-seasonal_False,0.10725641250610352,4.110165505216632,2.5691123077942977,5.105239311595684,2.10168742203048,2.125216549438361,3.3355917903245307,3.532101736541555,5.208900892018631,4.134861426959963,2.465671238791979,1.9152089630019458,3.327614285792187,1.194442129096048
p01,AutoREG-lags_2-trend_t-seasonal_False,0.10610771179199219,3.5247517324422395,3.691036075221213,6.261619402373524,3.7329327471541798,0.6215803491425358,4.85327681448425,4.585953493573696,4.756516318573815,3.17939493430424,1.8718481779614704,1.4391676093528694,3.501643423144003,1.661124898601227
p01,AutoREG-lags_20-trend_c-seasonal_False,0.11236882209777832,4.06591952380423,2.3264667980670737,4.112161283818567,1.0216990377408761,3.382024482548237,2.220569272631962,2.523687107761373,6.793885197938386,6.813662065195365,5.070280619053418,4.834758161904694,3.9241012318603805,1.8686124906503088
p01,AutoREG-lags_20-trend_ct-seasonal_False,0.12006258964538574,4.000482988851846,2.650247466051836,4.106695892714705,0.9443424688467532,2.6281811884219017,2.2868078556925164,2.5628872179373143,7.118491053465737,6.985082263974517,4.801367442160113,4.710169284557373,3.8904322838795107,1.9417168499971207
p01,AutoREG-lags_20-trend_n-seasonal_False,0.11640405654907227,4.06591952380399,2.3056864417082132,5.0825010984198675,1.062637174819751,0.960759431264206,3.058112137976465,3.327309105206932,5.673923889849967,3.8706746136837036,2.507500985126629,1.6248981899082136,3.0490838719789037,1.548946535097124
p01,AutoREG-lags_20-trend_t-seasonal_False,0.11651206016540527,4.000482988851347,2.8919513936684176,6.230564558689479,2.450007238418497,1.412834223382064,4.495817911014245,4.227431803713771,5.281673112335923,2.9916803259106457,2.077406481672797,1.464971127642795,3.411347378663635,1.5673913327055682
p01,AutoREG-lags_24-trend_c-seasonal_False,0.11975383758544922,4.547490375987742,2.351109180098052,4.076913372028049,0.979132878510461,3.3649004332177443,2.248073730603614,2.4699097891516315,6.781823878153742,6.851488712012775,5.026368907745123,4.721764716371603,3.9471796339891396,1.8808809943581826
p01,AutoREG-lags_24-trend_ct-seasonal_False,0.1166083812713623,4.526690005632307,2.6616234804116914,4.075093384424021,0.9155079603158355,2.6122194553918394,2.311242916012207,2.508733933898769,7.101491106199332,7.022390981613137,4.768204740774972,4.604926921869468,3.9189204442312344,1.9551969371962445
p01,AutoREG-lags_24-trend_n-seasonal_False,0.12706995010375977,4.547490375987517,2.3005977154647828,5.038865938054668,1.1040392486359532,1.1731011282736716,3.0217562169007532,3.4182761422181605,5.700781282728784,3.9816917307691484,2.4815543817906196,1.4812848869273487,3.1135853679774006,1.5760653827239361
p01,AutoREG-lags_24-trend_t-seasonal_False,0.11605191230773926,4.526690005632576,2.817129495934767,6.106857331619514,2.4589484916146565,1.2138831079165968,4.380336788429471,4.299971782262002,5.290231079361981,3.1319904924840913,2.146122349603419,1.5143918003700645,3.4442320659299215,1.5850220277304208
p01,AutoREG-lags_28-trend_c-seasonal_False,0.12652349472045898,4.339079585124094,2.322990592069458,4.089858292837588,0.9803124052117252,3.4842528878119494,2.236766153540955,2.596850732150782,6.745070169257205,6.884542968964964,5.12591244866892,4.8950431218824315,3.972789032501825,1.879211918675322
p01,AutoREG-lags_28-trend_ct-seasonal_False,0.12005448341369629,3.9436070463891753,2.6284052035214565,4.0938635160644266,0.9138273018161401,2.711936000781533,2.3026106596414184,2.6375420857386103,7.064040079515341,7.04646548032954,4.84633304388086,4.762861033593203,3.9046810410247006,1.9411811637943641
