validation_id,model_id,runtime_secs,MeanSquaredError_fold_0_test,MeanSquaredError_fold_1_test,MeanSquaredError_fold_2_test,MeanSquaredError_fold_3_test,MeanSquaredError_fold_4_test,MeanSquaredError_fold_5_test,MeanSquaredError_fold_6_test,MeanSquaredError_fold_7_test,MeanSquaredError_fold_8_test,MeanSquaredError_fold_9_test,MeanSquaredError_fold_10_test,MeanSquaredError_mean,MeanSquaredError_std
p01,AutoETS-auto_True,3.4007761478424072,7.079848615424444,4.581963156249562,9.708690422684292,4.601297024555653,2.299378832189089,2.1911299678906366,2.4216157701959924,4.825337898902787,2.047777306961684,6.293344499808113,3.0060929405629984,4.459679675947751,2.446335011158911
p01,StatsForecastAutoCES-model_Z,53.18890881538391,3.1159078312924913,4.990640496964891,4.466235264083083,4.872531480276772,2.1195652110150713,2.765876231491899,2.7257744322494135,10.430358022132207,7.658894920750517,4.8197806127506135,3.589785764836857,4.686850024349438,2.4456565810003923
p01,StatsForecastAutoETS-model_ANN,2.5684776306152344,5.020814600352372,4.283535440767198,6.4939350445704305,4.278718010313345,0.6497343137136238,2.191441688823932,2.499002401499611,9.211704003257726,5.744344964087882,3.6882680634320564,2.0892402910616834,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoETS-model_MNN,0.8065910339355469,5.020814600352372,4.283535440767199,6.4939350445704305,4.278718010313345,0.6497343137136238,2.191441688823932,2.499002401499611,9.211704003257726,5.744344964087882,3.6882680634320564,2.0892402910616834,4.195521711079987,2.4020880282986874
p01,StatsForecastAutoTheta-decomposition_type_additive,52.7468683719635,4.957422713916465,4.2941399993330345,6.484491392968813,4.280969566935988,0.6552358241767978,2.1914616824653357,2.4991808935162863,9.23118339674014,5.755639077754366,3.681355340393726,2.0874475027619788,4.192593399178449,2.4034237991630976
p01,StatsForecastAutoTheta-decomposition_type_multiplicative,8.40936017036438,4.957422713916465,4.2941399993330345,6.484491392968813,4.280969566935988,0.6552358241767978,2.1914616824653357,2.4991808935162863,9.23118339674014,5.755639077754366,3.681355340393726,2.0874475027619788,4.192593399178449,2.4034237991630976
p05,AutoETS-auto_True,1.732529878616333,3.5294017033839635,2.437668137836557,3.042554800715395,1.0198588376565698,2.5625603601764992,1.328159427998248,1.0863247297028766,1.6533697645780165,2.7567909285608936,4.553135465843436,2.712354551483837,2.4256526098123903,1.0911791672028384
p05,StatsForecastAutoCES-model_Z,41.89007258415222,2.5202070062022632,1.1897167720302881,3.8990006992717516,0.8510084325226397,2.0522410848861847,0.8966697096015284,2.1717704123883395,1.055841710172546,4.165545694779802,4.025424788257411,2.701313389771516,2.3207945181712977,1.2706825007154963
p05,StatsForecastAutoETS-model_ANN,0.8373918533325195,2.9517414064415624,0.5634421030505388,3.285521519534413,1.019803902718756,1.8519215254074308,1.908092037208696,1.4852219808945812,1.4044074931915942,3.4744626469718622,5.536609499584115,1.9593639701615577,2.31278073501501,1.408549249417296
p05,StatsForecastAutoETS-model_MNN,0.753253698348999,2.9517414064415624,0.5634421030505388,3.285521519534413,1.019803902718756,1.8519215254074308,1.908092037208696,1.4852219808945808,1.4044074931915942,3.4744626469718622,5.536609499584115,1.9593639701615582,2.31278073501501,1.408549249417296
p05,StatsForecastAutoTheta-decomposition_type_additive,25.264835357666016,2.9507975204619568,0.5637174352095208,3.2837032467492246,1.0198039658414952,1.850511216033819,1.9099155503067884,1.4869178033541222,1.4091134177001965,3.4776534686175267,5.539243770519737,1.957893836248544,2.313570111912994,1.4088419011289748
p05,StatsForecastAutoTheta-decomposition_type_multiplicative,8.432094097137451,2.9507975204619568,0.5637174352095208,3.2837032467492246,1.0198039658414952,1.850511216033819,1.9099155503067884,1.4869178033541222,1.4091134177001965,3.4776534686175267,5.539243770519737,1.957893836248544,2.313570111912994,1.4088419011289748
p06,AutoETS-auto_True,1.881751537322998,4.549483692963978,5.308647930585346,1.756162422372784,4.591474492870885,1.9300524339051386,3.0716536278181796,9.049157648100861,11.148081756623757,2.8359191755204023,1.4735137548622885,3.864048812051839,4.507108704334133,3.0669637196027484
p06,StatsForecastAutoCES-model_Z,30.714539527893066,1.9424341640777085,2.623310964601571,3.452354521010031,2.2894434544251085,0.7070318611810233,3.9498420339882294,4.051525211860831,8.0949302081474,3.5295947719203595,2.6816731464688703,3.9785959144945595,3.3909760229250625,1.8668622078917134
p06,StatsForecastAutoETS-model_ANN,2.3176932334899902,1.3841246302600054,3.1848697403373,2.622951695260585,3.425295897874938,0.6822398183128472,2.838494832428857,5.591987407085032,6.991989252933097,2.063442116813065,1.8828292566242328,5.425522557410535,3.2812497459400447,1.9534328846593427
p06,StatsForecastAutoETS-model_MNN,0.9383149147033691,1.384124630260006,3.1848697403373,2.622951695260585,3.425295897874938,0.6822398183128472,2.838494832428857,5.591987407085032,6.991989252933097,2.063442116813065,1.8828292566242322,5.425522557410535,3.2812497459400447,1.9534328846593427
p06,StatsForecastAutoTheta-decomposition_type_additive,25.306047677993774,1.4238129721944857,3.2040289395869466,2.625664935833357,3.4226568735119414,0.6833121042857794,2.8402682208608763,5.583697785884616,6.983147506961074,2.070095118121713,1.8840636223414715,5.429752242313568,3.286409120172348,1.9465270434357582
p06,StatsForecastAutoTheta-decomposition_type_multiplicative,8.818377494812012,1.4238129721944857,3.2040289395869466,2.625664935833357,3.4226568735119414,0.6833121042857794,2.8402682208608763,5.583697785884616,6.983147506961074,2.070095118121713,1.8840636223414715,5.429752242313568,3.286409120172348,1.9465270434357582
